 1240 lines : MEGS B CCD responsivity
 2 columns : Wavelength (nm),  Responsivity (electrons/photon) [no filter]
      113.350     0.648783
      113.450     0.648502
      113.550     0.648220
      113.650     0.647939
      113.750     0.647657
      113.850     0.647375
      113.950     0.647094
      114.050     0.646812
      114.150     0.646531
      114.250     0.646249
      114.350     0.645968
      114.450     0.645638
      114.550     0.645151
      114.650     0.644663
      114.750     0.644175
      114.850     0.643688
      114.950     0.643200
      115.050     0.642712
      115.150     0.642224
      115.250     0.641737
      115.350     0.641249
      115.450     0.640761
      115.550     0.640274
      115.650     0.639786
      115.750     0.639298
      115.850     0.638810
      115.950     0.638323
      116.050     0.637835
      116.150     0.637347
      116.250     0.636860
      116.350     0.636372
      116.450     0.635884
      116.550     0.635396
      116.650     0.634909
      116.750     0.634421
      116.850     0.633933
      116.950     0.633446
      117.050     0.632958
      117.150     0.632470
      117.250     0.631982
      117.350     0.631495
      117.450     0.631007
      117.550     0.630714
      117.650     0.631169
      117.750     0.631625
      117.850     0.632081
      117.950     0.632537
      118.050     0.632992
      118.150     0.633448
      118.250     0.633904
      118.350     0.634359
      118.450     0.634815
      118.550     0.635271
      118.650     0.635726
      118.750     0.636182
      118.850     0.636638
      118.950     0.637094
      119.050     0.637549
      119.150     0.638005
      119.250     0.638461
      119.350     0.638916
      119.450     0.639372
      119.550     0.639828
      119.650     0.640283
      119.750     0.640739
      119.850     0.641195
      119.950     0.641650
      120.050     0.642106
      120.150     0.642562
      120.250     0.643018
      120.350     0.643473
      120.450     0.643929
      120.550     0.644385
      120.650     0.644840
      120.750     0.645052
      120.850     0.644886
      120.950     0.644719
      121.050     0.644553
      121.150     0.644387
      121.250     0.644220
      121.350     0.644054
      121.450     0.643888
      121.550     0.643721
      121.650     0.643555
      121.750     0.643388
      121.850     0.643222
      121.950     0.643056
      122.050     0.642889
      122.150     0.642723
      122.250     0.642557
      122.350     0.642390
      122.450     0.642224
      122.550     0.642057
      122.650     0.641891
      122.750     0.641725
      122.850     0.641558
      122.950     0.641392
      123.050     0.641226
      123.150     0.641059
      123.250     0.640893
      123.350     0.640726
      123.450     0.640560
      123.550     0.640394
      123.650     0.640227
      123.750     0.640061
      123.850     0.639894
      123.950     0.639728
